image,p_yes,p_no,label,prob,pred
000016.jpg,0.6945285,0.3924141,1,0.63897437,1
000378.jpg,0.69438815,0.3923034,1,0.63899285,1
000490.jpg,0.69495374,0.39313823,1,0.63869023,1
000515.jpg,0.7232884,0.59059083,1,0.55049837,1
000800.jpg,0.71583784,0.44149166,1,0.6185255,1
000859.jpg,0.71627253,0.44297945,1,0.6178748,1
001009.jpg,0.6329648,0.800054,1,0.44170028,0
001019.jpg,0.694408,0.3922849,1,0.6390103,1
001243.jpg,0.69438636,0.39231294,1,0.6389867,1
001382.jpg,0.63247895,0.79907334,1,0.44181338,0
001426.jpg,0.7002392,0.40445942,1,0.63387346,1
001622.jpg,0.6944076,0.39228565,1,0.6390097,1
001783.jpg,0.7002067,0.40440616,1,0.6338933,1
001846.jpg,0.6949584,0.39303923,1,0.6387499,1
002144.jpg,0.69448704,0.3922866,1,0.6390356,1
002187.jpg,0.70216346,0.40882507,1,0.63201684,1
002593.jpg,0.69439936,0.3922849,1,0.6390075,1
002740.jpg,0.69713205,0.3975481,1,0.6368363,1
002891.jpg,0.75559855,0.5893457,1,0.5618066,1
003222.jpg,0.69438654,0.39231196,1,0.6389873,1
003224.jpg,0.6943906,0.39229673,1,0.6389976,1
003292.jpg,0.6153868,0.7634659,1,0.44630352,0
003667.jpg,0.7008658,0.40593797,1,0.633234,1
003840.jpg,0.7033557,0.41164824,1,0.6308101,1
003858.jpg,0.6318902,0.79834086,1,0.44180983,0
003916.jpg,0.6943866,0.3923114,1,0.6389876,1
004030.jpg,0.6969304,0.39710692,1,0.6370262,1
004034.jpg,0.69478256,0.39284176,1,0.6388075,1
004142.jpg,0.60914695,0.7522843,1,0.4474313,0
004192.jpg,0.6943865,0.3923118,1,0.63898736,1
004259.jpg,0.6945219,0.3923992,1,0.638981,1
004275.jpg,0.69667536,0.39657924,1,0.637249,1
004277.jpg,0.6371491,0.79424864,1,0.44512373,0
004396.jpg,0.70229757,0.41016358,1,0.6313008,1
004452.jpg,0.7267182,0.4721615,1,0.6061644,1
004868.jpg,0.64083266,0.7811897,1,0.4506488,0
005119.jpg,0.6946428,0.39254403,1,0.638936,1
005387.jpg,0.69438946,0.39229935,1,0.6389957,1
005466.jpg,0.74629134,0.58202416,1,0.5618329,1
005645.jpg,0.69439185,0.39229402,1,0.6389996,1
005654.jpg,0.6989914,0.40913373,1,0.6307874,1
006091.jpg,0.70544606,0.41825038,1,0.6277906,1
006236.jpg,0.6968942,0.3988132,1,0.6360222,1
006460.jpg,0.6943866,0.39231104,1,0.6389879,1
006583.jpg,0.6326932,0.79883575,1,0.44197023,0
006598.jpg,0.7294132,0.47590587,1,0.60516196,1
006788.jpg,0.69438666,0.39231083,1,0.638988,1
006813.jpg,0.6288628,0.78945154,1,0.44338748,0
006942.jpg,0.6944007,0.3922871,1,0.6390067,1
007073.jpg,0.6963328,0.3958327,1,0.6375708,1
007080.jpg,0.74749833,0.5389187,1,0.58107,1
007162.jpg,0.694407,0.3922847,1,0.6390102,1
007571.jpg,0.57141924,0.56693774,1,0.50196844,1
