image,p_yes,p_no,label,prob,pred
000016.jpg,0.615112,0.46843278,1,0.56768495,1
000378.jpg,0.6129526,0.4697351,1,0.5661398,1
000490.jpg,0.6145875,0.46874928,1,0.5673097,1
000515.jpg,0.61530244,0.46831793,1,0.5678211,1
000800.jpg,0.6142632,0.468945,1,0.56707764,1
000859.jpg,0.61492807,0.46854383,1,0.56755334,1
001009.jpg,0.4341733,0.5731289,1,0.43102586,0
001019.jpg,0.6154809,0.46821013,1,0.5679487,1
001243.jpg,0.6099374,0.47154966,1,0.56398034,1
001382.jpg,0.43412516,0.5731564,1,0.4309869,0
001426.jpg,0.6153654,0.46827987,1,0.5678661,1
001622.jpg,0.6143825,0.46887302,1,0.56716305,1
001783.jpg,0.61498284,0.4685108,1,0.56759244,1
001846.jpg,0.6148582,0.468586,1,0.56750333,1
002144.jpg,0.59934634,0.47789022,1,0.55637395,1
002187.jpg,0.6151615,0.46840295,1,0.5677203,1
002593.jpg,0.6138552,0.469191,1,0.56678575,1
002740.jpg,0.6150407,0.46847588,1,0.56763387,1
002891.jpg,0.6150467,0.46847224,1,0.5676381,1
003222.jpg,0.6136556,0.46931136,1,0.56664294,1
003224.jpg,0.61392736,0.4691475,1,0.56683743,1
003292.jpg,0.434128,0.5731548,1,0.4309892,0
003667.jpg,0.61291957,0.46975496,1,0.5661162,1
003840.jpg,0.6151571,0.46840557,1,0.56771713,1
003858.jpg,0.43419,0.57311934,1,0.4310394,0
003916.jpg,0.6084373,0.47245088,1,0.56290495,1
004030.jpg,0.61518675,0.4683877,1,0.56773835,1
004034.jpg,0.61480075,0.46862066,1,0.5674622,1
004142.jpg,0.43456113,0.57290727,1,0.43133968,0
004192.jpg,0.6149501,0.46853054,1,0.56756914,1
004259.jpg,0.6150778,0.4684535,1,0.5676604,1
004275.jpg,0.6152864,0.46832755,1,0.5678096,1
004277.jpg,0.43418452,0.5731225,1,0.43103492,0
004396.jpg,0.6152547,0.4683467,1,0.56778693,1
004452.jpg,0.61557394,0.46815395,1,0.5680153,1
004868.jpg,0.61070645,0.47108728,1,0.5645313,1
005119.jpg,0.61578095,0.46802893,1,0.5681633,1
005387.jpg,0.61502564,0.468485,1,0.5676231,1
005466.jpg,0.6144129,0.46885473,1,0.56718475,1
005645.jpg,0.60846615,0.4724335,1,0.56292564,1
005654.jpg,0.6101569,0.47141773,1,0.5641376,1
006091.jpg,0.6098564,0.47159833,1,0.5639223,1
006236.jpg,0.60724324,0.47316745,1,0.5620485,1
006460.jpg,0.61414045,0.46901903,1,0.5669899,1
006583.jpg,0.43423113,0.57309586,1,0.43107268,0
006598.jpg,0.615232,0.4683604,1,0.56777066,1
006788.jpg,0.6146908,0.46868703,1,0.5673836,1
006813.jpg,0.5273712,0.5199244,1,0.5035553,1
006942.jpg,0.6149243,0.46854612,1,0.5675506,1
007073.jpg,0.615283,0.46832958,1,0.5678072,1
007080.jpg,0.615657,0.46810383,1,0.56807464,1
