image,p_yes,p_no,label,prob,pred
000016.jpg,0.79143983,0.15733911,1,0.83416677,1
000378.jpg,0.8799317,0.07685742,1,0.9196715,1
000490.jpg,0.77439857,0.17434412,1,0.8162367,1
000515.jpg,0.7979235,0.15127508,1,0.8406286,1
000800.jpg,0.79581344,0.15293507,1,0.83880335,1
000859.jpg,0.74883497,0.20066531,1,0.7886622,1
001009.jpg,0.2988912,0.6527272,1,0.31408724,0
001019.jpg,0.76070493,0.18867758,1,0.8012628,1
001243.jpg,0.82873297,0.12190427,1,0.87176573,1
001382.jpg,0.34359893,0.6154079,1,0.35828623,0
001426.jpg,0.7444129,0.20541887,1,0.7837313,1
001622.jpg,0.80680203,0.14268853,1,0.84972095,1
001783.jpg,0.7180223,0.2338827,1,0.75430036,1
001846.jpg,0.7948405,0.15405902,1,0.8376446,1
002144.jpg,0.78604305,0.16278271,1,0.8284377,1
002187.jpg,0.7690396,0.18024634,1,0.8101243,1
002593.jpg,0.7885186,0.16028678,1,0.83106464,1
002740.jpg,0.7157244,0.23609819,1,0.7519515,1
002891.jpg,0.5228883,0.45641887,1,0.533937,1
003222.jpg,0.7993683,0.14946248,1,0.8424772,1
003224.jpg,0.75859296,0.19054301,1,0.79924583,1
003292.jpg,0.62418556,0.33980888,1,0.64749914,1
003667.jpg,0.659739,0.29859066,1,0.68842596,1
003840.jpg,0.8174877,0.1321171,1,0.8608715,1
003858.jpg,0.18792586,0.75168794,1,0.2000033,0
003916.jpg,0.80269873,0.14652085,1,0.8456407,1
004030.jpg,0.74633604,0.20315783,1,0.78603566,1
004034.jpg,0.8228246,0.12707274,1,0.86622477,1
004142.jpg,0.2772456,0.67119956,1,0.2923159,0
004192.jpg,0.8814147,0.0756714,1,0.9209357,1
004259.jpg,0.8467451,0.105351396,1,0.889348,1
004275.jpg,0.689543,0.26505688,1,0.72233725,1
004277.jpg,0.6488615,0.3113962,1,0.675716,1
004396.jpg,0.7679523,0.1811281,1,0.8091541,1
004452.jpg,0.74291885,0.20705025,1,0.78204525,1
004868.jpg,0.35077208,0.60924816,1,0.36537987,0
005119.jpg,0.66689926,0.29058862,1,0.69650936,1
005387.jpg,0.79540277,0.15353148,1,0.8382064,1
005466.jpg,0.5443055,0.43023348,1,0.55852616,1
005645.jpg,0.78500885,0.1636822,1,0.82746524,1
005654.jpg,0.7193964,0.23193817,1,0.75619704,1
006091.jpg,0.42995343,0.54543245,1,0.4408034,0
006236.jpg,0.8044395,0.14449881,1,0.8477258,1
006460.jpg,0.8511267,0.101594366,1,0.89336395,1
006583.jpg,0.22087409,0.7205303,1,0.23462191,0
006598.jpg,0.7782373,0.17047577,1,0.8203084,1
006788.jpg,0.87147796,0.084052704,1,0.9120356,1
006813.jpg,0.5484116,0.4261878,1,0.5627046,1
006942.jpg,0.7202377,0.23123099,1,0.7569747,1
007073.jpg,0.67744,0.2786337,1,0.7085646,1
007080.jpg,0.6802924,0.2754294,1,0.71181005,1
007162.jpg,0.8020408,0.1470691,1,0.84504527,1
007571.jpg,0.5689635,0.4050489,1,0.584144,1
007649.jpg,0.7315524,0.21909587,1,0.76953006,1
007819.jpg,0.7119134,0.24026196,1,0.7476705,1
007967.jpg,0.6509114,0.30866918,1,0.6783291,1
008064.jpg,0.8169707,0.13270147,1,0.86026603,1
008213.jpg,0.36359948,0.59916085,1,0.37766355,0
008220.jpg,0.3172036,0.63712496,1,0.33238408,0
008243.jpg,0.6489499,0.31126583,1,0.67583764,1
008357.jpg,0.8424261,0.109023556,1,0.8854132,1
008636.jpg,0.6404514,0.3214767,1,0.6657997,1
008777.jpg,0.63494664,0.32758018,1,0.6596665,1
008913.jpg,0.78028643,0.16848952,1,0.8224138,1
008931.jpg,0.7649985,0.18383597,1,0.80625075,1
008979.jpg,0.7938443,0.1548782,1,0.8367508,1
009087.jpg,0.79183066,0.15698844,1,0.83454335,1
009231.jpg,0.72982645,0.22075723,1,0.76776665,1
009305.jpg,0.76326853,0.18569836,1,0.80431527,1
009353.jpg,0.82685745,0.12347359,1,0.8700731,1
009519.jpg,0.36343306,0.5992091,1,0.37753704,0
009555.jpg,0.6654424,0.2921519,1,0.6949106,1
009738.jpg,0.39741987,0.57133764,1,0.4102367,0
009754.jpg,0.582193,0.3870921,1,0.60064167,1
009805.jpg,0.8177742,0.13198194,1,0.86103594,1
010100.jpg,0.82579166,0.12451384,1,0.8689749,1
010104.jpg,0.6552462,0.30367395,1,0.68331677,1
010308.jpg,0.7235766,0.22713175,1,0.76109207,1
010712.jpg,0.83458304,0.11656362,1,0.8774494,1
011078.jpg,0.63294727,0.32982495,1,0.6574216,1
011396.jpg,0.58835256,0.38128987,1,0.6067727,1
011470.jpg,0.3518932,0.6075295,1,0.36677596,0
011761.jpg,0.69350606,0.26031488,1,0.727082,1
011885.jpg,0.8022945,0.14679763,1,0.84532833,1
011962.jpg,0.7140476,0.23795596,1,0.75004715,1
012085.jpg,0.48302677,0.49264446,1,0.49507123,0
012189.jpg,0.8138952,0.13562496,1,0.85716474,1
012207.jpg,0.7768114,0.17204817,1,0.81867903,1
012256.jpg,0.6057675,0.36120573,1,0.6264574,1
012326.jpg,0.38957867,0.57734275,1,0.40290624,0
012373.jpg,0.13749968,0.8017077,1,0.14639969,0
012643.jpg,0.7528032,0.19672184,1,0.7928208,1
012697.jpg,0.7692181,0.17950359,1,0.8107943,1
013040.jpg,0.43749446,0.5390722,1,0.4479924,0
013063.jpg,0.74987346,0.19992997,1,0.7895039,1
013331.jpg,0.7132938,0.23861311,1,0.7493315,1
013350.jpg,0.7387241,0.2115802,1,0.7773553,1
013479.jpg,0.7214897,0.22971803,1,0.75849855,1
013650.jpg,0.8128323,0.13678879,1,0.85595435,1
013780.jpg,0.683038,0.27256638,1,0.7147707,1
013920.jpg,0.74586016,0.20388198,1,0.7853291,1
013992.jpg,0.6917511,0.26225808,1,0.725099,1
014143.jpg,0.75234246,0.19688131,1,0.79258704,1
014236.jpg,0.6462249,0.3148279,1,0.6724136,1
014331.jpg,0.8301746,0.120543435,1,0.87320805,1
014433.jpg,0.745587,0.20394748,1,0.7852132,1
014447.jpg,0.6868666,0.26819482,1,0.71918577,1
014487.jpg,0.69291824,0.26133105,1,0.72613966,1
014550.jpg,0.654566,0.30463096,1,0.6824104,1
014596.jpg,0.69299424,0.26130927,1,0.72617805,1
014650.jpg,0.77282804,0.176074,1,0.81444454,1
014671.jpg,0.69240314,0.2621133,1,0.7253968,1
015063.jpg,0.71026194,0.24180818,1,0.7460185,1
015145.jpg,0.5390502,0.43722725,1,0.5521486,1
