image,p_yes,p_no,label,prob,pred
000016.jpg,0.8884696,0.099931344,1,0.8988959,1
000378.jpg,0.9350515,0.056575995,1,0.9429463,1
000490.jpg,0.7122723,0.27221227,1,0.7234977,1
000515.jpg,0.61691725,0.37235293,1,0.6236084,1
000800.jpg,0.8291847,0.15751885,1,0.8403585,1
000859.jpg,0.756273,0.2286989,1,0.7678117,1
001009.jpg,0.36916113,0.65002584,1,0.36221138,0
001019.jpg,0.7312275,0.25544044,1,0.741108,1
001243.jpg,0.9779279,0.0182306,1,0.9816991,1
001382.jpg,0.4045205,0.6016107,1,0.40205544,0
001426.jpg,0.8771284,0.1106208,1,0.8880072,1
001622.jpg,0.9533049,0.039934926,1,0.95979327,1
001783.jpg,0.65036666,0.3371629,1,0.6585794,1
001846.jpg,0.7380049,0.24764998,1,0.74874574,1
002144.jpg,0.88046265,0.10762167,1,0.8910805,1
002187.jpg,0.87168205,0.11529561,1,0.8831832,1
002593.jpg,0.8753926,0.11230932,1,0.8862923,1
002740.jpg,0.83605886,0.15071552,1,0.84726447,1
002891.jpg,0.73277164,0.2512062,1,0.7447034,1
003222.jpg,0.89749575,0.09151914,1,0.9074644,1
003224.jpg,0.88190645,0.10645049,1,0.8922955,1
003292.jpg,0.58946574,0.40115985,1,0.5950439,1
003667.jpg,0.7432174,0.24229349,1,0.7541443,1
003840.jpg,0.8166553,0.16920577,1,0.82836753,1
003858.jpg,0.10922446,0.92562664,1,0.105546065,0
003916.jpg,0.9772677,0.018812576,1,0.9811134,1
004030.jpg,0.7959701,0.19010201,1,0.8072129,1
004034.jpg,0.86369133,0.123673804,1,0.8747436,1
004142.jpg,0.2431276,0.79396236,1,0.2344325,0
004192.jpg,0.9574481,0.036254182,1,0.96351606,1
004259.jpg,0.93824077,0.05359969,1,0.9459593,1
004275.jpg,0.7346684,0.24943426,1,0.7465364,1
004277.jpg,0.67271525,0.31390163,1,0.6818404,1
004396.jpg,0.8398839,0.146893,1,0.8511386,1
004452.jpg,0.76441294,0.22084145,1,0.77585334,1
004868.jpg,0.458348,0.5370401,1,0.46047163,0
005119.jpg,0.74181604,0.24395552,1,0.7525233,1
005387.jpg,0.885927,0.1022499,1,0.8965267,1
005466.jpg,0.6364617,0.34989694,1,0.64526397,1
005645.jpg,0.962885,0.03140987,1,0.9684099,1
005654.jpg,0.8496743,0.13697249,1,0.86117375,1
006091.jpg,0.7293142,0.25464827,1,0.7412012,1
006236.jpg,0.7206416,0.2657151,1,0.73060954,1
006460.jpg,0.90547675,0.08396649,1,0.91513765,1
006583.jpg,0.27240112,0.7633009,1,0.2630111,0
006598.jpg,0.9104169,0.079283394,1,0.9198915,1
006788.jpg,0.9530012,0.040237326,1,0.95948875,1
006813.jpg,0.49832276,0.49738106,1,0.5004729,1
006942.jpg,0.60402304,0.3836435,1,0.61156577,1
007073.jpg,0.9034195,0.085634574,1,0.9134177,1
