image,p_yes,p_no,label,prob,pred
000016.jpg,0.6916535,0.34488893,1,0.6672698,1
000378.jpg,0.69131845,0.34469217,1,0.66728896,1
000490.jpg,0.69158584,0.34483793,1,0.6672809,1
000515.jpg,0.6915385,0.3448031,1,0.6672881,1
000800.jpg,0.69144064,0.34473318,1,0.6673018,1
000859.jpg,0.69155645,0.34483826,1,0.6672713,1
001009.jpg,0.30532053,0.6117991,1,0.33291245,0
001019.jpg,0.40901375,0.1983756,1,0.67339635,1
001243.jpg,0.63878727,0.31235945,1,0.671597,1
001382.jpg,0.3583636,0.18430993,1,0.66036683,1
001426.jpg,0.6913708,0.34468305,1,0.6673116,1
001622.jpg,0.6916592,0.3449126,1,0.6672565,1
001783.jpg,0.66801083,0.32968807,1,0.66955155,1
001846.jpg,0.60221934,0.2883683,1,0.67620444,1
002144.jpg,0.69165945,0.34489614,1,0.66726714,1
002187.jpg,0.69157934,0.3448338,1,0.6672815,1
002593.jpg,0.6916637,0.34490395,1,0.6672634,1
002740.jpg,0.6916561,0.3448943,1,0.6672672,1
002891.jpg,0.6915152,0.34478903,1,0.66728973,1
003222.jpg,0.69165444,0.3448923,1,0.667268,1
003224.jpg,0.6909791,0.34446967,1,0.6673233,1
003292.jpg,0.5237275,0.24764386,1,0.67895633,1
003667.jpg,0.56618726,0.26787704,1,0.67882925,1
003840.jpg,0.689671,0.34348592,1,0.6675375,1
003858.jpg,0.23056754,0.5705059,1,0.28782323,0
003916.jpg,0.69166315,0.3449051,1,0.6672625,1
004030.jpg,0.51176405,0.24463345,1,0.67658085,1
004034.jpg,0.69166195,0.34490812,1,0.6672602,1
004142.jpg,0.24680391,0.5804955,1,0.2983248,0
004192.jpg,0.6916604,0.34490907,1,0.6672591,1
004259.jpg,0.6916589,0.3448874,1,0.66727257,1
004275.jpg,0.6916444,0.34489062,1,0.6672658,1
004277.jpg,0.3202163,0.2524845,1,0.55913365,1
004396.jpg,0.6915724,0.3448339,1,0.66727924,1
004452.jpg,0.691406,0.34471092,1,0.667305,1
004868.jpg,0.38823673,0.4510111,1,0.46260083,0
005119.jpg,0.69158936,0.3448381,1,0.6672819,1
005387.jpg,0.69165975,0.34491178,1,0.66725713,1
005466.jpg,0.67897195,0.33668926,1,0.6685024,1
005645.jpg,0.691659,0.3449129,1,0.6672562,1
005654.jpg,0.6916379,0.34487426,1,0.66727424,1
006091.jpg,0.6245786,0.30145204,1,0.67446864,1
006236.jpg,0.68797135,0.3423546,1,0.6677221,1
006460.jpg,0.6907197,0.34429604,1,0.66735184,1
006583.jpg,0.23254062,0.57139236,1,0.28925374,0
006598.jpg,0.69166166,0.3449068,1,0.667261,1
006788.jpg,0.6916265,0.34486583,1,0.667276,1
006813.jpg,0.30877423,0.15534261,1,0.6652942,1
006942.jpg,0.68613076,0.3411505,1,0.6679093,1
007073.jpg,0.6915956,0.3448484,1,0.6672774,1
007080.jpg,0.6325653,0.30699834,1,0.6732544,1
