image,p_yes,p_no,label,prob,pred
000016.jpg,0.560979,0.2819741,1,0.66549253,1
000378.jpg,0.5609801,0.2819719,1,0.6654947,1
000490.jpg,0.56098354,0.2819657,1,0.66550094,1
000515.jpg,0.5624927,0.29729325,1,0.6542241,1
000800.jpg,0.561002,0.28192902,1,0.66553724,1
000859.jpg,0.5609824,0.2819677,1,0.665499,1
001009.jpg,0.58899117,0.58400005,1,0.50212747,1
001019.jpg,0.5609974,0.28193346,1,0.66553193,1
001243.jpg,0.56102705,0.2818849,1,0.665582,1
001382.jpg,0.5730958,0.59179115,1,0.49197546,0
001426.jpg,0.56097716,0.28197697,1,0.6654895,1
001622.jpg,0.56096,0.2820089,1,0.66545755,1
001783.jpg,0.5616085,0.2905909,1,0.65901065,1
001846.jpg,0.5611961,0.28242937,1,0.6652195,1
002144.jpg,0.560991,0.28195164,1,0.66551507,1
002187.jpg,0.5609758,0.2819798,1,0.66548675,1
002593.jpg,0.5609806,0.28197086,1,0.66549575,1
002740.jpg,0.5610081,0.28191993,1,0.66554683,1
002891.jpg,0.5609748,0.28198186,1,0.6654847,1
003222.jpg,0.5609534,0.2820209,1,0.6654454,1
003224.jpg,0.56097406,0.2819829,1,0.66548365,1
003292.jpg,0.5630283,0.30514133,1,0.6485234,1
003667.jpg,0.56102896,0.28199127,1,0.66549885,1
003840.jpg,0.56098026,0.2819688,1,0.66549724,1
003858.jpg,0.34790036,0.68294203,1,0.3374913,0
003916.jpg,0.5609744,0.28198236,1,0.6654842,1
004030.jpg,0.56097955,0.28219303,1,0.66532,1
004034.jpg,0.5609675,0.28199497,1,0.6654715,1
004142.jpg,0.35364106,0.6789679,1,0.34247336,0
004192.jpg,0.560967,0.28199556,1,0.66547084,1
004259.jpg,0.56100047,0.2819341,1,0.6655326,1
004275.jpg,0.56100786,0.2819192,1,0.6655473,1
004277.jpg,0.5618702,0.29252812,1,0.6576209,1
004396.jpg,0.56097203,0.28198287,1,0.6654829,1
004452.jpg,0.5609861,0.28196,1,0.6655065,1
