image,p_yes,p_no,label,prob,pred
000016.jpg,0.5826308,0.42773557,1,0.576653,1
000378.jpg,0.5825943,0.4277518,1,0.57662845,1
000490.jpg,0.5825898,0.42775372,1,0.57662547,1
000515.jpg,0.582504,0.4277918,1,0.57656777,1
000800.jpg,0.5826316,0.4277352,1,0.57665354,1
000859.jpg,0.58263105,0.42773545,1,0.5766532,1
001009.jpg,0.32194972,0.54589957,1,0.37097424,0
001019.jpg,0.5825959,0.427751,1,0.5766296,1
001243.jpg,0.5826038,0.42774752,1,0.5766349,1
001382.jpg,0.56477004,0.43563145,1,0.56454337,1
001426.jpg,0.5826056,0.42774674,1,0.5766361,1
001622.jpg,0.58253676,0.4277773,1,0.5765898,1
001783.jpg,0.58265966,0.42772275,1,0.57667243,1
001846.jpg,0.58265376,0.42772537,1,0.5766685,1
002144.jpg,0.5825724,0.4277615,1,0.5766137,1
002187.jpg,0.5825106,0.42778888,1,0.57657224,1
002593.jpg,0.5825096,0.42778933,1,0.57657146,1
002740.jpg,0.5826152,0.4277425,1,0.5766425,1
002891.jpg,0.58263236,0.42773488,1,0.576654,1
003222.jpg,0.58259994,0.42774928,1,0.5766322,1
003224.jpg,0.58246446,0.42780936,1,0.5765412,1
003292.jpg,0.5711675,0.43280897,1,0.5689053,1
003667.jpg,0.5816441,0.42817312,1,0.5759895,1
003840.jpg,0.58263004,0.42773592,1,0.57665247,1
003858.jpg,0.31812412,0.54781926,1,0.3673729,0
003916.jpg,0.58239895,0.42783836,1,0.57649714,1
004030.jpg,0.582679,0.4277142,1,0.5766854,1
004034.jpg,0.5824787,0.427803,1,0.5765508,1
004142.jpg,0.31815287,0.5478048,1,0.36740005,0
004192.jpg,0.5825809,0.42775768,1,0.5766195,1
004259.jpg,0.5825498,0.4277715,1,0.5765985,1
004275.jpg,0.5824449,0.42781803,1,0.576528,1
004277.jpg,0.5724938,0.43222308,1,0.5698061,1
004396.jpg,0.5826347,0.42773384,1,0.57665557,1
004452.jpg,0.58262956,0.42773613,1,0.57665217,1
004868.jpg,0.38285035,0.51656944,1,0.4256637,0
005119.jpg,0.5826285,0.4277366,1,0.5766514,1
005387.jpg,0.5823649,0.42785347,1,0.5764743,1
005466.jpg,0.5825687,0.4277631,1,0.5766112,1
005645.jpg,0.58259726,0.4277505,1,0.5766304,1
005654.jpg,0.58261466,0.42774272,1,0.57664216,1
006091.jpg,0.5824906,0.4277977,1,0.57655877,1
006236.jpg,0.5826331,0.42773452,1,0.57665455,1
006460.jpg,0.5825513,0.42777082,1,0.5765996,1
006583.jpg,0.32029507,0.54672855,1,0.3694191,0
006598.jpg,0.5824999,0.4277936,1,0.5765651,1
006788.jpg,0.58254504,0.42777362,1,0.57659537,1
006813.jpg,0.43978423,0.49064043,1,0.4726704,0
006942.jpg,0.5826385,0.42773217,1,0.5766581,1
007073.jpg,0.5826272,0.42773715,1,0.5766506,1
007080.jpg,0.5827038,0.4277031,1,0.5767021,1
007162.jpg,0.582627,0.42773724,1,0.57665044,1
007571.jpg,0.5826303,0.42773584,1,0.57665265,1
007649.jpg,0.5826182,0.42774114,1,0.57664454,1
007819.jpg,0.5825284,0.427781,1,0.57658416,1
007967.jpg,0.5806784,0.42860126,1,0.57533944,1
008064.jpg,0.58261216,0.42774385,1,0.5766405,1
008213.jpg,0.57472885,0.4312351,1,0.57132155,1
008220.jpg,0.53597283,0.44828162,1,0.544547,1
008243.jpg,0.5770494,0.4302085,1,0.57289135,1
008357.jpg,0.582629,0.42773634,1,0.5766518,1
008636.jpg,0.5826346,0.42773387,1,0.57665557,1
008777.jpg,0.5825571,0.4277682,1,0.5766035,1
008913.jpg,0.5826296,0.4277361,1,0.5766522,1
008931.jpg,0.58262503,0.42773813,1,0.5766491,1
008979.jpg,0.5825971,0.4277505,1,0.57663035,1
009087.jpg,0.58262473,0.42773828,1,0.57664895,1
009231.jpg,0.58260345,0.4277477,1,0.5766346,1
009305.jpg,0.5825469,0.4277728,1,0.57659656,1
009353.jpg,0.5825945,0.42775163,1,0.5766286,1
009519.jpg,0.58251846,0.4277854,1,0.5765775,1
009555.jpg,0.58262944,0.4277362,1,0.5766521,1
009738.jpg,0.58249944,0.42779386,1,0.5765647,1
009754.jpg,0.580402,0.42872372,1,0.57515335,1
009805.jpg,0.5826288,0.42773643,1,0.57665163,1
010100.jpg,0.58260953,0.42774498,1,0.5766387,1
010104.jpg,0.5826314,0.4277353,1,0.5766534,1
010308.jpg,0.5825949,0.42775148,1,0.5766288,1
010712.jpg,0.5822705,0.42789537,1,0.5764108,1
011078.jpg,0.58263034,0.42773575,1,0.5766527,1
011396.jpg,0.58247674,0.4278039,1,0.5765495,1
011470.jpg,0.32107422,0.5463379,1,0.37015188,0
011761.jpg,0.5826427,0.4277303,1,0.576661,1
011885.jpg,0.58238685,0.42784378,1,0.576489,1
011962.jpg,0.32391626,0.54491687,1,0.37281758,0
012085.jpg,0.5825953,0.42775133,1,0.5766291,1
012189.jpg,0.5825698,0.42776263,1,0.576612,1
012207.jpg,0.58264613,0.42772877,1,0.5766633,1
012256.jpg,0.58252585,0.42778212,1,0.57658243,1
012326.jpg,0.582397,0.42783925,1,0.5764958,1
012373.jpg,0.3182221,0.54776996,1,0.36746538,0
012643.jpg,0.58254033,0.4277757,1,0.5765922,1
012697.jpg,0.58245075,0.4278154,1,0.57653195,1
013040.jpg,0.45780048,0.4826222,1,0.4868029,0
013063.jpg,0.5825957,0.42775115,1,0.5766294,1
013331.jpg,0.5826366,0.42773294,1,0.57665694,1
013350.jpg,0.5825312,0.4277797,1,0.5765861,1
013479.jpg,0.58260494,0.427747,1,0.57663566,1
013650.jpg,0.58261317,0.42774338,1,0.57664114,1
013780.jpg,0.5826608,0.42772222,1,0.5766732,1
013920.jpg,0.5825989,0.4277497,1,0.5766316,1
013992.jpg,0.5826113,0.4277442,1,0.57663995,1
014143.jpg,0.5826176,0.4277414,1,0.5766441,1
014236.jpg,0.5825445,0.42777383,1,0.576595,1
014331.jpg,0.58256537,0.4277646,1,0.576609,1
014433.jpg,0.5826297,0.42773604,1,0.5766523,1
014447.jpg,0.3194242,0.54716563,1,0.36859906,0
014487.jpg,0.58265024,0.42772692,1,0.57666606,1
014550.jpg,0.5826316,0.4277352,1,0.57665354,1
014596.jpg,0.58265185,0.42772624,1,0.57666713,1
014650.jpg,0.58265364,0.42772546,1,0.5766684,1
014671.jpg,0.5821047,0.4279689,1,0.5762993,1
015063.jpg,0.5825898,0.42775372,1,0.57662547,1
015145.jpg,0.58258635,0.4277553,1,0.57662314,1
015158.jpg,0.58259183,0.42775285,1,0.5766268,1
015337.jpg,0.5825437,0.42777422,1,0.5765944,1
015341.jpg,0.5762976,0.43054122,1,0.57238317,1
015490.jpg,0.5824826,0.42780128,1,0.5765534,1
015539.jpg,0.5824839,0.42780074,1,0.57655424,1
015789.jpg,0.32544935,0.5441527,1,0.37425092,0
015853.jpg,0.5825376,0.42777693,1,0.57659036,1
015865.jpg,0.582626,0.42773765,1,0.57664984,1
015926.jpg,0.5826763,0.42771536,1,0.5766836,1
016395.jpg,0.5826212,0.42773986,1,0.57664657,1
016494.jpg,0.58262575,0.4277378,1,0.5766496,1
