image,p_yes,p_no,label,prob,pred
000016.jpg,0.68514115,0.3304779,1,0.6746045,1
000378.jpg,0.8209089,0.19749753,1,0.80607206,1
000490.jpg,0.6289753,0.38394278,1,0.6209538,1
000515.jpg,0.7721872,0.24583831,1,0.7585146,1
000800.jpg,0.6236869,0.39080742,1,0.61477613,1
000859.jpg,0.5880434,0.42472592,1,0.5806291,1
001009.jpg,0.34761986,0.65779454,1,0.34574786,0
001019.jpg,0.78793913,0.23056288,1,0.7736255,1
001243.jpg,0.822155,0.1969788,1,0.80671936,1
001382.jpg,0.36198848,0.64138293,1,0.36077216,0
001426.jpg,0.6228809,0.3885637,1,0.6158329,1
001622.jpg,0.6871764,0.32808006,1,0.6768501,1
001783.jpg,0.77363366,0.24439947,1,0.7599297,1
001846.jpg,0.7429234,0.27496818,1,0.72986495,1
002144.jpg,0.7243718,0.29311213,1,0.71192455,1
002187.jpg,0.5001257,0.5073972,1,0.49639145,0
002593.jpg,0.7682238,0.2504387,1,0.75414956,1
002740.jpg,0.5770741,0.4347409,1,0.57033557,1
002891.jpg,0.33121657,0.6726251,1,0.32994902,0
003222.jpg,0.82004607,0.19725336,1,0.80610096,1
003224.jpg,0.7809545,0.23728241,1,0.7669674,1
003292.jpg,0.6838394,0.3324017,1,0.6729106,1
003667.jpg,0.6164456,0.3965724,1,0.60852385,1
003840.jpg,0.5877512,0.4245747,1,0.58059484,1
003858.jpg,0.24525845,0.74729925,1,0.24709742,0
003916.jpg,0.78735924,0.23107356,1,0.77310866,1
004030.jpg,0.7271421,0.2900487,1,0.71485317,1
004034.jpg,0.70263153,0.31384194,1,0.6912443,1
004142.jpg,0.45628193,0.55283,1,0.45216188,0
004192.jpg,0.7574062,0.26079515,1,0.7438668,1
004259.jpg,0.7433248,0.27506927,1,0.729899,1
004275.jpg,0.57891273,0.43480057,1,0.5710813,1
004277.jpg,0.6720003,0.34335512,1,0.6618375,1
004396.jpg,0.615472,0.39702561,1,0.607875,1
004452.jpg,0.5739838,0.43472317,1,0.5690293,1
004868.jpg,0.28233388,0.71459496,1,0.28320366,0
005119.jpg,0.68890256,0.3279044,1,0.67751557,1
005387.jpg,0.7280398,0.28913635,1,0.71574605,1
005466.jpg,0.59386575,0.41912177,1,0.5862518,1
005645.jpg,0.7486965,0.26975095,1,0.7351352,1
005654.jpg,0.6132844,0.4023243,1,0.60385895,1
006091.jpg,0.46762776,0.53937674,1,0.46437505,0
006236.jpg,0.7471807,0.27028298,1,0.73435616,1
006460.jpg,0.7623105,0.2562144,1,0.74844563,1
006583.jpg,0.21191376,0.78224933,1,0.21315795,0
006598.jpg,0.6181179,0.39475533,1,0.61026186,1
006788.jpg,0.7786134,0.24042761,1,0.7640648,1
006813.jpg,0.60615396,0.4068591,1,0.59836733,1
006942.jpg,0.76008415,0.25821024,1,0.7464287,1
007073.jpg,0.64507663,0.36899602,1,0.6361247,1
007080.jpg,0.37410644,0.6327129,1,0.37157255,0
007162.jpg,0.7456649,0.27125165,1,0.7332607,1
007571.jpg,0.75031877,0.26761687,1,0.73709846,1
