image,p_yes,p_no,label,prob,pred
000016.jpg,0.95207983,0.021818958,1,0.9775963,1
000378.jpg,0.87735224,0.074509926,1,0.92172194,1
000490.jpg,0.8966732,0.062350713,1,0.9349853,1
000515.jpg,0.950334,0.022305025,1,0.97706753,1
000800.jpg,0.89868027,0.060951203,1,0.9364848,1
000859.jpg,0.93427163,0.03361665,1,0.965268,1
001009.jpg,0.782691,0.16591777,1,0.82509357,1
001019.jpg,0.8962656,0.059624907,1,0.9376237,1
001243.jpg,0.8646023,0.084159546,1,0.9112954,1
001382.jpg,0.88115615,0.072478704,1,0.9239974,1
001426.jpg,0.9295007,0.03676337,1,0.9619531,1
001622.jpg,0.93104917,0.034936655,1,0.96383315,1
001783.jpg,0.9461054,0.02487323,1,0.9743833,1
001846.jpg,0.818201,0.13684143,1,0.85671693,1
002144.jpg,0.96490353,0.013772962,1,0.9859269,1
002187.jpg,0.92138666,0.041796245,1,0.9566061,1
002593.jpg,0.94296306,0.027634436,1,0.9715284,1
002740.jpg,0.90184927,0.057095475,1,0.9404601,1
002891.jpg,0.9434558,0.027595427,1,0.97158194,1
003222.jpg,0.964997,0.014057871,1,0.98564136,1
003224.jpg,0.952158,0.020690052,1,0.9787325,1
003292.jpg,0.85101295,0.100800954,1,0.89409596,1
003667.jpg,0.8125252,0.14488171,1,0.8486728,1
003840.jpg,0.90182513,0.061143782,1,0.93650496,1
003858.jpg,0.09410735,0.85400206,1,0.09925791,0
003916.jpg,0.88565713,0.06739175,1,0.92928827,1
004030.jpg,0.7562964,0.19555089,1,0.79455644,1
004034.jpg,0.8583744,0.09587829,1,0.8995252,1
004142.jpg,0.48433396,0.47848076,1,0.50303966,1
004192.jpg,0.8776347,0.07558703,1,0.9207036,1
004259.jpg,0.9492842,0.023237903,1,0.9761056,1
004275.jpg,0.93673176,0.03154264,1,0.96742386,1
004277.jpg,0.88175046,0.072899,1,0.9236379,1
004396.jpg,0.92865413,0.036751967,1,0.96193105,1
004452.jpg,0.86620766,0.0886895,1,0.9071214,1
004868.jpg,0.86266357,0.09329509,1,0.90240675,1
005119.jpg,0.9197697,0.04292809,1,0.9554085,1
005387.jpg,0.97186637,0.01104955,1,0.9887584,1
005466.jpg,0.8701619,0.07939114,1,0.9163911,1
005645.jpg,0.8704046,0.082596585,1,0.91333,1
005654.jpg,0.9456207,0.025130894,1,0.974112,1
006091.jpg,0.92798966,0.03896167,1,0.9597067,1
006236.jpg,0.8781697,0.07774017,1,0.9186742,1
006460.jpg,0.95473033,0.01913686,1,0.98034966,1
006583.jpg,0.7836412,0.16545135,1,0.8256742,1
006598.jpg,0.94335884,0.028813474,1,0.97036177,1
006788.jpg,0.94611835,0.024816215,1,0.9744409,1
006813.jpg,0.8224882,0.1269158,1,0.86632055,1
006942.jpg,0.876151,0.074093774,1,0.92202663,1
007073.jpg,0.8813318,0.07371107,1,0.92281914,1
007080.jpg,0.8478552,0.107752964,1,0.8872415,1
007162.jpg,0.8588778,0.09850954,1,0.8971059,1
007571.jpg,0.94034004,0.028438767,1,0.9706448,1
007649.jpg,0.8821171,0.07044682,1,0.92604506,1
007819.jpg,0.7431086,0.21500607,1,0.77559465,1
007967.jpg,0.8404106,0.1112492,1,0.8830998,1
008064.jpg,0.9193151,0.042412743,1,0.9558994,1
008213.jpg,0.8340328,0.1142701,1,0.87950045,1
008220.jpg,0.88224435,0.07267398,1,0.92389506,1
008243.jpg,0.74003136,0.21710652,1,0.7731711,1
008357.jpg,0.94062054,0.029180447,1,0.96991086,1
008636.jpg,0.91905516,0.04265226,1,0.95564944,1
008777.jpg,0.8874751,0.065119565,1,0.9316398,1
008913.jpg,0.9667196,0.013261533,1,0.98646754,1
008931.jpg,0.9216473,0.042697623,1,0.9557237,1
008979.jpg,0.9684219,0.01210988,1,0.9876497,1
009087.jpg,0.9257686,0.03959403,1,0.9589853,1
009231.jpg,0.9910863,0.0025309573,1,0.9974528,1
009305.jpg,0.92475134,0.038571283,1,0.95996016,1
009353.jpg,0.861055,0.089785635,1,0.90557235,1
009519.jpg,0.8125445,0.15312594,1,0.8414304,1
009555.jpg,0.94816583,0.024755828,1,0.97455513,1
009738.jpg,0.9725363,0.01111089,1,0.9887044,1
009754.jpg,0.9341165,0.034592945,1,0.96428967,1
009805.jpg,0.94987875,0.02444869,1,0.9749071,1
