image,p_yes,p_no,label,prob,pred
000016.jpg,0.74461025,0.4943437,1,0.6009991,1
000378.jpg,0.74521285,0.49438423,1,0.60117346,1
000490.jpg,0.7449978,0.49434304,1,0.6011242,1
000515.jpg,0.7402842,0.49499664,1,0.5992841,1
000800.jpg,0.74480593,0.494309,1,0.6010789,1
000859.jpg,0.7418164,0.49369228,1,0.60041374,1
001009.jpg,0.39311078,0.63346094,1,0.38293552,0
001019.jpg,0.7431591,0.4949523,1,0.60023606,1
001243.jpg,0.7452198,0.49438488,1,0.60117537,1
001382.jpg,0.3532707,0.6387399,1,0.35611588,0
001426.jpg,0.7169881,0.48798487,1,0.5950242,1
001622.jpg,0.70958304,0.48742235,1,0.59279853,1
001783.jpg,0.74519217,0.4943889,1,0.6011645,1
001846.jpg,0.7444494,0.49427697,1,0.6009797,1
002144.jpg,0.71876836,0.49229765,1,0.59350055,1
002187.jpg,0.7448236,0.49429545,1,0.6010912,1
002593.jpg,0.7452115,0.49438676,1,0.6011718,1
002740.jpg,0.6990097,0.4844835,1,0.5906326,1
002891.jpg,0.59943,0.4767999,1,0.5569721,1
003222.jpg,0.74521554,0.49438676,1,0.60117304,1
003224.jpg,0.7438621,0.494366,1,0.6007472,1
003292.jpg,0.50544107,0.5739008,1,0.46828634,0
003667.jpg,0.6838439,0.48186255,1,0.58663476,1
003840.jpg,0.6284084,0.4704894,1,0.57185334,1
003858.jpg,0.35289732,0.6387965,1,0.35585308,0
003916.jpg,0.7452199,0.49438488,1,0.6011754,1
004030.jpg,0.7243982,0.49877822,1,0.59222704,1
004034.jpg,0.74516904,0.49437818,1,0.60116225,1
004142.jpg,0.35424906,0.6381007,1,0.35698006,0
004192.jpg,0.7451702,0.49437568,1,0.60116386,1
004259.jpg,0.7452204,0.49438488,1,0.60117555,1
004275.jpg,0.73887455,0.49302122,1,0.5997866,1
004277.jpg,0.4023206,0.6358184,1,0.3875402,0
004396.jpg,0.44398856,0.5789793,1,0.43402007,0
004452.jpg,0.6205672,0.47302562,1,0.56745726,1
004868.jpg,0.3548254,0.63744074,1,0.35759094,0
005119.jpg,0.56628996,0.5247646,1,0.5190299,1
005387.jpg,0.74521965,0.49438545,1,0.60117507,1
005466.jpg,0.44734895,0.58862936,1,0.43181303,0
005645.jpg,0.74522036,0.49438488,1,0.60117555,1
005654.jpg,0.65076977,0.48919144,1,0.5708701,1
006091.jpg,0.58835214,0.4961663,1,0.54250085,1
006236.jpg,0.6157224,0.51121414,1,0.5463683,1
006460.jpg,0.74520946,0.4943857,1,0.6011716,1
006583.jpg,0.35337257,0.63857967,1,0.3562395,0
006598.jpg,0.74452704,0.4942285,1,0.6010282,1
006788.jpg,0.74521786,0.49438524,1,0.6011746,1
006813.jpg,0.40572682,0.6061378,1,0.40096945,0
006942.jpg,0.7450854,0.49440634,1,0.6011217,1
007073.jpg,0.7153387,0.48963964,1,0.5936527,1
007080.jpg,0.5727916,0.51721203,1,0.5254951,1
007162.jpg,0.7449807,0.49433097,1,0.6011246,1
007571.jpg,0.6357098,0.5607866,1,0.53130937,1
007649.jpg,0.5410166,0.6012372,1,0.47363958,0
007819.jpg,0.72201645,0.4894962,1,0.59596276,1
007967.jpg,0.6724296,0.48448026,1,0.58122903,1
008064.jpg,0.7452199,0.49438483,1,0.6011754,1
008213.jpg,0.41391695,0.5988398,1,0.40870318,0
008220.jpg,0.50912136,0.6143997,1,0.453148,0
008243.jpg,0.64812255,0.47829404,1,0.57538444,1
008357.jpg,0.7154858,0.4932632,1,0.5919225,1
008636.jpg,0.6203967,0.5493705,1,0.53035915,1
008777.jpg,0.7433546,0.49398148,1,0.6007701,1
008913.jpg,0.7452199,0.49438488,1,0.6011754,1
008931.jpg,0.7452101,0.49438366,1,0.60117286,1
008979.jpg,0.74521947,0.494385,1,0.6011752,1
009087.jpg,0.7449118,0.49433646,1,0.6010997,1
009231.jpg,0.64257795,0.48484513,1,0.56995285,1
009305.jpg,0.7450208,0.49434894,1,0.60112876,1
009353.jpg,0.74521893,0.49438536,1,0.6011749,1
009519.jpg,0.3716132,0.6263571,1,0.37236902,0
009555.jpg,0.74432135,0.4944047,1,0.6008765,1
009738.jpg,0.35812572,0.6363388,1,0.36011916,0
009754.jpg,0.6458115,0.474617,1,0.5763969,1
009805.jpg,0.7452175,0.4943844,1,0.6011749,1
010100.jpg,0.7451967,0.4943816,1,0.6011695,1
010104.jpg,0.74520224,0.4943843,1,0.60117,1
010308.jpg,0.7451549,0.49439245,1,0.6011508,1
010712.jpg,0.7452202,0.49438488,1,0.6011755,1
011078.jpg,0.36332676,0.63281083,1,0.3647355,0
011396.jpg,0.5560434,0.55421567,1,0.5008231,1
011470.jpg,0.35760805,0.6359207,1,0.3599373,0
011761.jpg,0.64205503,0.5555336,1,0.53612316,1
011885.jpg,0.74522,0.49438488,1,0.6011754,1
011962.jpg,0.37836173,0.6335178,1,0.37391973,0
012085.jpg,0.74521464,0.49438435,1,0.60117394,1
012189.jpg,0.7450611,0.4943525,1,0.60114,1
012207.jpg,0.74390703,0.4946343,1,0.60063154,1
012256.jpg,0.6389349,0.50418377,1,0.5589402,1
012326.jpg,0.5953423,0.47966123,1,0.553805,1
012373.jpg,0.3530786,0.63875854,1,0.35598445,0
012643.jpg,0.74496746,0.49433967,1,0.60111606,1
012697.jpg,0.7452104,0.4943836,1,0.601173,1
013040.jpg,0.64568114,0.53940886,1,0.5448372,1
013063.jpg,0.7452169,0.49438635,1,0.6011737,1
013331.jpg,0.49137354,0.5503092,1,0.47171134,0
013350.jpg,0.7452211,0.49438506,1,0.60117567,1
013479.jpg,0.6516598,0.50063896,1,0.56553024,1
013650.jpg,0.74522,0.49438494,1,0.6011754,1
013780.jpg,0.72304416,0.5066341,1,0.5879946,1
013920.jpg,0.7452194,0.49438483,1,0.60117525,1
013992.jpg,0.7442804,0.4941658,1,0.60097915,1
014143.jpg,0.5261662,0.5427774,1,0.4922301,0
014236.jpg,0.54919297,0.5703079,1,0.49056947,0
014331.jpg,0.7447783,0.49435568,1,0.60104746,1
014433.jpg,0.7451366,0.49440295,1,0.60113984,1
014447.jpg,0.6796786,0.52985865,1,0.56193274,1
014487.jpg,0.54175836,0.54376924,1,0.49907374,0
014550.jpg,0.73919,0.49394694,1,0.5994387,1
014596.jpg,0.7390616,0.49299288,1,0.59986115,1
014650.jpg,0.5594697,0.581037,1,0.49054486,0
014671.jpg,0.73456806,0.49246913,1,0.5986518,1
015063.jpg,0.7452081,0.4943829,1,0.60117257,1
015145.jpg,0.60048693,0.47934934,1,0.5560907,1
015158.jpg,0.7279305,0.49310252,1,0.5961596,1
015337.jpg,0.74521375,0.49438536,1,0.60117316,1
015341.jpg,0.44889626,0.57992244,1,0.436322,0
015490.jpg,0.74521637,0.4943853,1,0.6011741,1
015539.jpg,0.74521625,0.49438465,1,0.60117435,1
015789.jpg,0.35368076,0.63832027,1,0.35653263,0
015853.jpg,0.74521047,0.49438408,1,0.60117275,1
015865.jpg,0.69447,0.48852214,1,0.5870453,1
015926.jpg,0.722998,0.49539518,1,0.59340286,1
016395.jpg,0.73302984,0.4919197,1,0.5984163,1
016494.jpg,0.74521977,0.49438488,1,0.6011753,1
016504.jpg,0.7439036,0.49407822,1,0.60090023,1
016666.jpg,0.42845175,0.5888953,1,0.4211461,0
016830.jpg,0.74364805,0.49414876,1,0.60078365,1
016909.jpg,0.70077556,0.48649883,1,0.59023887,1
