image,p_yes,p_no,label,prob,pred
000016.jpg,0.47435844,0.35312563,1,0.57325387,1
000378.jpg,0.47505707,0.3534683,1,0.5733766,1
000490.jpg,0.47386658,0.35309127,1,0.57302386,1
000515.jpg,0.4756014,0.35402036,1,0.57327497,1
000800.jpg,0.474488,0.35334203,1,0.5731708,1
000859.jpg,0.47400603,0.3532574,1,0.57298076,1
001009.jpg,0.40370527,0.5342878,1,0.4303926,0
001019.jpg,0.4729368,0.35370836,1,0.5721159,1
001243.jpg,0.4757857,0.35497594,1,0.5727102,1
001382.jpg,0.4040936,0.5346484,1,0.43046287,0
001426.jpg,0.4739545,0.35350558,1,0.57278234,1
001622.jpg,0.47481754,0.35330096,1,0.5733691,1
001783.jpg,0.4746645,0.35317492,1,0.5733775,1
001846.jpg,0.47478965,0.35331434,1,0.5733454,1
002144.jpg,0.47094205,0.35884514,1,0.5675456,1
002187.jpg,0.47502774,0.35350838,1,0.57333374,1
002593.jpg,0.4751373,0.35370198,1,0.57325625,1
002740.jpg,0.47332323,0.35374236,1,0.57229227,1
002891.jpg,0.4605621,0.38538116,1,0.54443616,1
003222.jpg,0.47522587,0.35363677,1,0.5733469,1
003224.jpg,0.47475407,0.3533634,1,0.57329315,1
003292.jpg,0.45547104,0.39811555,1,0.53359675,1
003667.jpg,0.4719731,0.35672772,1,0.56953377,1
003840.jpg,0.4717193,0.35724887,1,0.56904393,1
003858.jpg,0.40422103,0.5347029,1,0.4305152,0
003916.jpg,0.47570798,0.35456276,1,0.57295525,1
004030.jpg,0.4733884,0.35346386,1,0.5725187,1
004034.jpg,0.4747716,0.35332677,1,0.57332754,1
004142.jpg,0.4041497,0.5346155,1,0.430512,0
004192.jpg,0.4754262,0.35382482,1,0.57332,1
004259.jpg,0.47574273,0.35422862,1,0.5732038,1
004275.jpg,0.47498626,0.35347107,1,0.5733382,1
004277.jpg,0.40386036,0.53441817,1,0.43042693,0
004396.jpg,0.43536213,0.4548223,1,0.4890696,0
004452.jpg,0.4673191,0.36773735,1,0.5596258,1
004868.jpg,0.40466526,0.53423566,1,0.4309989,0
005119.jpg,0.47434798,0.3531401,1,0.57323843,1
005387.jpg,0.47458038,0.35321015,1,0.5733098,1
005466.jpg,0.42528477,0.4814601,1,0.46902364,0
005645.jpg,0.4758023,0.3544648,1,0.57307136,1
005654.jpg,0.47435468,0.35333994,1,0.5731035,1
006091.jpg,0.406689,0.5301383,1,0.4341131,0
006236.jpg,0.46934906,0.36283553,1,0.5639964,1
006460.jpg,0.4752996,0.35382447,1,0.57325506,1
006583.jpg,0.4034833,0.5340012,1,0.4303893,0
006598.jpg,0.47528815,0.35372707,1,0.5733165,1
006788.jpg,0.47586384,0.35437664,1,0.57316387,1
006813.jpg,0.4456095,0.42454875,1,0.5121017,1
006942.jpg,0.47455767,0.3531976,1,0.57330674,1
007073.jpg,0.4739143,0.35332707,1,0.57288516,1
007080.jpg,0.4177567,0.5020461,1,0.45418075,0
007162.jpg,0.4751061,0.35351586,1,0.5733689,1
007571.jpg,0.44333127,0.43124682,1,0.5069087,1
007649.jpg,0.42225403,0.4847971,1,0.465524,0
007819.jpg,0.47422168,0.3531393,1,0.5731738,1
007967.jpg,0.47319457,0.35447016,1,0.5717225,1
008064.jpg,0.4755048,0.35391578,1,0.57329756,1
008213.jpg,0.45349416,0.40298894,1,0.5294841,1
008220.jpg,0.40362564,0.53418297,1,0.43039232,0
008243.jpg,0.4745884,0.35326794,1,0.5732739,1
008357.jpg,0.47387108,0.35374457,1,0.5725739,1
008636.jpg,0.4664041,0.37023747,1,0.5574719,1
008777.jpg,0.47395456,0.3533337,1,0.57290137,1
008913.jpg,0.47553238,0.35393235,1,0.5733003,1
008931.jpg,0.47540414,0.3538137,1,0.57331634,1
008979.jpg,0.47504357,0.35351297,1,0.57333875,1
009087.jpg,0.47503623,0.35347578,1,0.5733607,1
009231.jpg,0.47131512,0.35836592,1,0.56806785,1
009305.jpg,0.47461826,0.353164,1,0.5733612,1
009353.jpg,0.47559547,0.3540138,1,0.57327646,1
009519.jpg,0.42031103,0.49473408,1,0.45933366,0
009555.jpg,0.47358054,0.35352588,1,0.5725751,1
009738.jpg,0.4041623,0.5346208,1,0.43051723,0
009754.jpg,0.47412556,0.35322472,1,0.5730651,1
009805.jpg,0.4752403,0.3536307,1,0.57335854,1
010100.jpg,0.4755849,0.35411054,1,0.57320416,1
010104.jpg,0.47453353,0.3533125,1,0.5732147,1
010308.jpg,0.47353905,0.35544407,1,0.5712288,1
010712.jpg,0.47580814,0.35431024,1,0.57318103,1
011078.jpg,0.42728946,0.47429866,1,0.4739298,0
011396.jpg,0.4683604,0.36615422,1,0.5612369,1
011470.jpg,0.41392463,0.5132409,1,0.44644094,0
011761.jpg,0.41128716,0.51947725,1,0.44188103,0
011885.jpg,0.4756096,0.35402402,1,0.5732767,1
011962.jpg,0.4664713,0.36941382,1,0.5580567,1
012085.jpg,0.47528735,0.35367367,1,0.57335305,1
012189.jpg,0.47459006,0.35318682,1,0.5733309,1
012207.jpg,0.4755597,0.35396627,1,0.57329094,1
012256.jpg,0.4489315,0.4163544,1,0.51882446,1
012326.jpg,0.44970235,0.4139276,1,0.52071184,1
012373.jpg,0.40379894,0.53431803,1,0.4304356,0
012643.jpg,0.47530288,0.35367882,1,0.5733575,1
012697.jpg,0.47528893,0.3536868,1,0.5733448,1
013040.jpg,0.4414044,0.43546963,1,0.50338405,1
013063.jpg,0.47551554,0.35392064,1,0.5732997,1
013331.jpg,0.4701188,0.36041552,1,0.5660438,1
013350.jpg,0.47560313,0.35403305,1,0.5732671,1
013479.jpg,0.47433302,0.35329112,1,0.57312614,1
013650.jpg,0.47578773,0.35451388,1,0.57303,1
013780.jpg,0.47550446,0.35419115,1,0.5731071,1
013920.jpg,0.4753906,0.35383672,1,0.57329345,1
013992.jpg,0.47437826,0.35309073,1,0.57328826,1
014143.jpg,0.47429672,0.35370997,1,0.5728175,1
014236.jpg,0.47334987,0.35344216,1,0.5725138,1
014331.jpg,0.4748266,0.35331616,1,0.57336324,1
014433.jpg,0.47518504,0.35358074,1,0.57336473,1
014447.jpg,0.47491053,0.353388,1,0.5733567,1
014487.jpg,0.47192448,0.35646325,1,0.56969035,1
014550.jpg,0.46522975,0.3728104,1,0.5551402,1
014596.jpg,0.4745858,0.35326713,1,0.57327306,1
014650.jpg,0.4745608,0.35314906,1,0.57334197,1
014671.jpg,0.474085,0.3533493,1,0.5729579,1
015063.jpg,0.47489926,0.3535073,1,0.57326835,1
015145.jpg,0.4220036,0.48988485,1,0.46277982,0
015158.jpg,0.4755637,0.35396984,1,0.57329047,1
015337.jpg,0.47527006,0.35365257,1,0.5733588,1
015341.jpg,0.4521138,0.40774295,1,0.5258013,1
015490.jpg,0.4753932,0.35401592,1,0.57317096,1
015539.jpg,0.4749036,0.35334238,1,0.57338476,1
015789.jpg,0.40433785,0.53446406,1,0.43069562,0
015853.jpg,0.4754084,0.35380518,1,0.5733244,1
015865.jpg,0.47021267,0.36118126,1,0.5655714,1
015926.jpg,0.47431865,0.35318235,1,0.573194,1
016395.jpg,0.47197032,0.35567746,1,0.57025504,1
016494.jpg,0.47535792,0.35382324,1,0.57328594,1
016504.jpg,0.47487512,0.35339138,1,0.5733361,1
016666.jpg,0.40819612,0.5274261,1,0.43628305,0
016830.jpg,0.47540593,0.3538256,1,0.57330906,1
016909.jpg,0.47478664,0.35340372,1,0.57328206,1
017172.jpg,0.40625867,0.530544,1,0.4336652,0
017256.jpg,0.4752719,0.35368973,1,0.57333404,1
018101.jpg,0.47551298,0.35390478,1,0.57330936,1
018115.jpg,0.40990487,0.5224102,1,0.43966344,0
018254.jpg,0.45412078,0.40210798,1,0.5303732,1
018404.jpg,0.4053364,0.5332095,1,0.43187702,0
018797.jpg,0.47437626,0.3530043,1,0.57334715,1
018828.jpg,0.47372743,0.353675,1,0.57254773,1
018838.jpg,0.47475803,0.35342008,1,0.57325596,1
019065.jpg,0.4753167,0.35370848,1,0.5733441,1
019160.jpg,0.475713,0.35428926,1,0.57314664,1
019452.jpg,0.46404257,0.37560657,1,0.5526625,1
020130.jpg,0.47620857,0.35503626,1,0.57288605,1
020548.jpg,0.4729101,0.3544034,1,0.57162136,1
020582.jpg,0.47510803,0.35360196,1,0.5733104,1
020748.jpg,0.40431747,0.5338,1,0.43098807,0
020912.jpg,0.4040823,0.5345212,1,0.43051437,0
020950.jpg,0.47508252,0.3534849,1,0.57337826,1
021143.jpg,0.46794242,0.3661761,1,0.5610023,1
021734.jpg,0.46436635,0.3752444,1,0.55307335,1
021984.jpg,0.47453922,0.3533079,1,0.57322085,1
022325.jpg,0.47579682,0.354454,1,0.57307595,1
022341.jpg,0.47464812,0.353351,1,0.57324713,1
022744.jpg,0.42755893,0.4754252,1,0.4734955,0
022831.jpg,0.47587356,0.35463017,1,0.57299393,1
022891.jpg,0.4747964,0.3533087,1,0.5733529,1
022980.jpg,0.47566688,0.3541229,1,0.57323784,1
023031.jpg,0.4752848,0.35371396,1,0.5733239,1
