image,p_yes,p_no,label,prob,pred
000016.jpg,0.8314023,0.10100333,1,0.89167446,1
000378.jpg,0.7904015,0.13970277,1,0.84979886,1
000490.jpg,0.84699243,0.08762895,1,0.90624124,1
000515.jpg,0.7868669,0.14411917,1,0.8451973,1
000800.jpg,0.8115072,0.120124124,1,0.8710605,1
000859.jpg,0.7338489,0.20231242,1,0.7838915,1
001009.jpg,0.28784853,0.751685,1,0.2769016,0
001019.jpg,0.8097869,0.12055164,1,0.87042177,1
001243.jpg,0.8032211,0.12667055,1,0.86377925,1
001382.jpg,0.27107373,0.77023923,1,0.26031917,0
001426.jpg,0.73640764,0.20008974,1,0.78634244,1
001622.jpg,0.7701739,0.1605736,1,0.8274789,1
001783.jpg,0.6885889,0.2536469,1,0.73080313,1
001846.jpg,0.8193418,0.11164922,1,0.88007486,1
002144.jpg,0.6525659,0.29888976,1,0.6858606,1
002187.jpg,0.84257954,0.091655545,1,0.9018924,1
002593.jpg,0.8646147,0.07293379,1,0.92220795,1
002740.jpg,0.63301134,0.32707545,1,0.6593272,1
002891.jpg,0.6660152,0.28431955,1,0.70082164,1
003222.jpg,0.82391274,0.10769522,1,0.8843986,1
003224.jpg,0.8244056,0.10783626,1,0.88432586,1
003292.jpg,0.3853212,0.63776875,1,0.37662497,0
003667.jpg,0.66529495,0.28388765,1,0.70091355,1
003840.jpg,0.80343664,0.12849963,1,0.86211544,1
003858.jpg,0.124438286,0.9157621,1,0.11962914,0
003916.jpg,0.765085,0.16476133,1,0.822808,1
004030.jpg,0.56672126,0.41329837,1,0.57827544,1
004034.jpg,0.8284997,0.10370514,1,0.8887528,1
004142.jpg,0.33811885,0.69462323,1,0.32739913,0
004192.jpg,0.9649042,0.01052992,1,0.9892049,1
004259.jpg,0.9034378,0.044171844,1,0.953386,1
004275.jpg,0.7821739,0.14821945,1,0.8406916,1
004277.jpg,0.67028105,0.27610454,1,0.7082536,1
004396.jpg,0.6336976,0.3265179,1,0.6599535,1
004452.jpg,0.61310345,0.3534631,1,0.63431066,1
004868.jpg,0.29457244,0.7432948,1,0.2838248,0
005119.jpg,0.6911933,0.2504823,1,0.73400366,1
005387.jpg,0.8722432,0.06716238,1,0.9285054,1
005466.jpg,0.663986,0.2843922,1,0.7001279,1
005645.jpg,0.9060883,0.04237318,1,0.9553243,1
005654.jpg,0.662369,0.28739345,1,0.6974049,1
006091.jpg,0.5899345,0.38210043,1,0.6069067,1
006236.jpg,0.57406497,0.4041052,1,0.5868764,1
006460.jpg,0.83877474,0.09419833,1,0.8990342,1
006583.jpg,0.18182147,0.8629574,1,0.17402866,0
006598.jpg,0.7851537,0.1461628,1,0.8430579,1
006788.jpg,0.9377628,0.023376748,1,0.9756781,1
006813.jpg,0.34591326,0.684927,1,0.33556437,0
006942.jpg,0.7644605,0.16793093,1,0.8198923,1
007073.jpg,0.7975572,0.13311645,1,0.8569677,1
007080.jpg,0.5549984,0.4326096,1,0.56196225,1
007162.jpg,0.8631779,0.074366815,1,0.9206792,1
007571.jpg,0.49146926,0.5118672,1,0.48983496,0
007649.jpg,0.49585387,0.50608104,1,0.4948963,0
007819.jpg,0.853279,0.08174511,1,0.91257435,1
007967.jpg,0.6142536,0.35000476,1,0.63702184,1
008064.jpg,0.86011314,0.076452315,1,0.9183695,1
008213.jpg,0.6160691,0.34790686,1,0.6390918,1
008220.jpg,0.31959915,0.71594554,1,0.30862904,0
008243.jpg,0.714568,0.22329345,1,0.76191217,1
008357.jpg,0.8052742,0.12549569,1,0.86517,1
008636.jpg,0.6274115,0.3310128,1,0.6546281,1
008777.jpg,0.6719715,0.274873,1,0.70969576,1
008913.jpg,0.8633155,0.073567145,1,0.92147666,1
008931.jpg,0.87476957,0.0649064,1,0.9309268,1
008979.jpg,0.8703628,0.06838982,1,0.92714816,1
009087.jpg,0.91960424,0.033972513,1,0.9643736,1
009231.jpg,0.5864765,0.390097,1,0.60054517,1
009305.jpg,0.8687231,0.07015626,1,0.9252766,1
009353.jpg,0.84041685,0.09269618,1,0.9006592,1
009519.jpg,0.70723593,0.23272467,1,0.7524102,1
009555.jpg,0.6423461,0.31163162,1,0.6733345,1
009738.jpg,0.3118273,0.7247393,1,0.3008271,0
009754.jpg,0.65046567,0.3035052,1,0.6818506,1
009805.jpg,0.89702797,0.04881649,1,0.94838846,1
010100.jpg,0.9033202,0.044417292,1,0.95313334,1
010104.jpg,0.74902505,0.1835468,1,0.8031821,1
010308.jpg,0.8075539,0.12343841,1,0.867412,1
010712.jpg,0.86878985,0.06945828,1,0.9259702,1
011078.jpg,0.5809363,0.39381823,1,0.59598213,1
011396.jpg,0.72092927,0.2155322,1,0.76984406,1
011470.jpg,0.22172086,0.82233596,1,0.21236475,0
011761.jpg,0.6938013,0.24821433,1,0.7365072,1
011885.jpg,0.9314374,0.026935881,1,0.97189415,1
011962.jpg,0.53264797,0.4585373,1,0.53738487,1
012085.jpg,0.9588644,0.013002707,1,0.9866209,1
012189.jpg,0.8477306,0.087260164,1,0.90667266,1
012207.jpg,0.7597368,0.17237873,1,0.81506723,1
012256.jpg,0.566089,0.41509786,1,0.5769431,1
012326.jpg,0.66503155,0.28534812,1,0.6997536,1
012373.jpg,0.20260061,0.8426018,1,0.19383864,0
012643.jpg,0.8565738,0.079047106,1,0.91551375,1
012697.jpg,0.78585094,0.14508072,1,0.8441553,1
013040.jpg,0.5195962,0.47732615,1,0.5212003,1
013063.jpg,0.7932543,0.13697372,1,0.8527525,1
013331.jpg,0.80037427,0.13103804,1,0.8593125,1
013350.jpg,0.8284529,0.10325335,1,0.8891782,1
013479.jpg,0.61338216,0.3505755,1,0.6363165,1
013650.jpg,0.850779,0.08345806,1,0.9106671,1
013780.jpg,0.518459,0.4791907,1,0.51968044,1
013920.jpg,0.78625804,0.14364941,1,0.8455229,1
013992.jpg,0.88743925,0.056122396,1,0.94052064,1
014143.jpg,0.62388575,0.33755347,1,0.64890814,1
014236.jpg,0.6431862,0.31077933,1,0.6742237,1
014331.jpg,0.94708216,0.01871755,1,0.98061967,1
014433.jpg,0.6391624,0.31614947,1,0.66906154,1
014447.jpg,0.4971595,0.505697,1,0.49574342,0
014487.jpg,0.565412,0.4154401,1,0.57644975,1
014550.jpg,0.74619806,0.1859167,1,0.8005431,1
014596.jpg,0.74257755,0.19122237,1,0.79522127,1
014650.jpg,0.74435085,0.18838194,1,0.7980322,1
014671.jpg,0.70477474,0.23470257,1,0.7501775,1
015063.jpg,0.77470875,0.15610841,1,0.83228886,1
015145.jpg,0.62718046,0.33564028,1,0.65139896,1
015158.jpg,0.8247302,0.106239244,1,0.8858832,1
015337.jpg,0.8979474,0.048085645,1,0.9491713,1
015341.jpg,0.5367214,0.45696053,1,0.540134,1
015490.jpg,0.79174656,0.138922,1,0.8507288,1
015539.jpg,0.8424013,0.09145094,1,0.9020713,1
015789.jpg,0.39649293,0.6254607,1,0.38797548,0
015853.jpg,0.8564994,0.079540394,1,0.9150246,1
015865.jpg,0.58930165,0.38267487,1,0.60629207,1
015926.jpg,0.79616654,0.1340098,1,0.8559308,1
016395.jpg,0.6662108,0.28263292,1,0.70212907,1
016494.jpg,0.89079523,0.05315239,1,0.9436914,1
016504.jpg,0.7976345,0.13309598,1,0.8569984,1
016666.jpg,0.49902654,0.5041302,1,0.49745622,0
016830.jpg,0.8167522,0.114472486,1,0.87707317,1
016909.jpg,0.62639844,0.33263308,1,0.6531573,1
017172.jpg,0.5512884,0.43549004,1,0.55867493,1
017256.jpg,0.84555614,0.08847947,1,0.9052718,1
018101.jpg,0.8742538,0.06533176,1,0.9304675,1
018115.jpg,0.62539935,0.33468917,1,0.6513976,1
018254.jpg,0.5399309,0.45347092,1,0.5435171,1
018404.jpg,0.7153977,0.22309221,1,0.762286,1
