image,p_yes,p_no,label,prob,pred
000016.jpg,0.7569143,0.27306917,1,0.73488003,1
000378.jpg,0.84120315,0.18161999,1,0.8224327,1
000490.jpg,0.81070673,0.21465893,1,0.7906513,1
000515.jpg,0.7597262,0.26673126,1,0.74014384,1
000800.jpg,0.75176895,0.28287423,1,0.7265973,1
000859.jpg,0.7093556,0.3138154,1,0.69329137,1
001009.jpg,0.42855352,0.6092405,1,0.4129466,0
001019.jpg,0.8063949,0.21845022,1,0.7868456,1
001243.jpg,0.9042405,0.11698741,1,0.8854444,1
001382.jpg,0.2976969,0.76058394,1,0.28130236,0
001426.jpg,0.8314669,0.19486181,1,0.8101371,1
001622.jpg,0.8611606,0.16631916,1,0.838129,1
001783.jpg,0.8644047,0.15726422,1,0.84607124,1
001846.jpg,0.81503344,0.21033897,1,0.7948658,1
002144.jpg,0.6518962,0.36846823,1,0.6388857,1
002187.jpg,0.77951443,0.24686553,1,0.7594794,1
002593.jpg,0.8662904,0.15505128,1,0.84818864,1
002740.jpg,0.8110399,0.21610613,1,0.7896052,1
002891.jpg,0.7205202,0.30937937,1,0.69960237,1
003222.jpg,0.86959046,0.15220894,1,0.8510383,1
003224.jpg,0.85967034,0.16197485,1,0.84145683,1
003292.jpg,0.6317043,0.39103514,1,0.6176591,1
003667.jpg,0.8010972,0.22903338,1,0.7776657,1
003840.jpg,0.7243164,0.30868876,1,0.701174,1
003858.jpg,0.1375703,0.9248233,1,0.12949091,0
003916.jpg,0.9580991,0.05717278,1,0.9436872,1
004030.jpg,0.74694306,0.27621356,1,0.7300378,1
004034.jpg,0.8790793,0.1431213,1,0.8599871,1
004142.jpg,0.30423614,0.7562123,1,0.28689387,0
004192.jpg,0.932701,0.088240765,1,0.9135693,1
004259.jpg,0.8824271,0.13951224,1,0.8634829,1
004275.jpg,0.79834706,0.22544228,1,0.77979624,1
004277.jpg,0.5246283,0.49478474,1,0.51463765,1
004396.jpg,0.8238583,0.20476359,1,0.8009341,1
004452.jpg,0.6515892,0.38917926,1,0.62606543,1
004868.jpg,0.45036557,0.5861734,1,0.43448976,0
005119.jpg,0.8066902,0.21713406,1,0.7879187,1
005387.jpg,0.89589345,0.12491146,1,0.87763435,1
005466.jpg,0.6772158,0.3457016,1,0.6620435,1
005645.jpg,0.9262233,0.09263374,1,0.90908074,1
005654.jpg,0.80005133,0.22487713,1,0.7805924,1
